file_offset,source_jp_scanner,vi_full,status,notes
0x360DA,清水公園｛,Công viên Shimizu,translated_quiz_batch02,
0x360E9,おおき公園｛,Công viên Ooki,translated_quiz_batch02,
0x360FA,となり町のあばれんぼうに｛      いじめられるクラスメイトの｛      ため、大野、杉山くんコンビ｛,"Vì bạn cùng lớp bị đám quậy phá ở thị trấn bên bắt nạt, bộ đôi Ono-kun và Sugiyama-kun...",translated_quiz_batch02,
0x36165,は、なみき公園でけっとう｛      する。もちろん、｛,...đã hẹn chúng phân thắng bại tại Công viên Namiki. Và tất nhiên...,translated_quiz_batch02,
0x361A4,Q人は大勝利。｛,...cả hai giành chiến thắng vẻ vang.,translated_quiz_batch02,scanner begins inside full-width count; raw ROM verifies ２人
0x361D5,まる子の父ヒロシのおにいさん｛      のなまえはなんていうの？    ｛,"Anh trai của Hiroshi, bố Maruko, tên là gì?",translated_quiz_batch02,
0x3622B,さくら一郎｛,Sakura Ichiro,translated_quiz_batch02,
0x3623C,さくら広蔵｛,Sakura Hirozo,translated_quiz_batch02,
0x3624D,さくら茂樹｛,Sakura Shigeki,translated_quiz_batch02,
0x3625E,｛        まる子は一郎おじさんに、｛      いつも大すきなしんちゃを｛,Chú Ichiro thường gửi cho Maruko...,translated_quiz_batch02,
0x362A9,おくってきてもらえるの  ｛      だった。            ｛,...trà vụ mới mà cô bé rất thích.,translated_quiz_batch02,
0x36307,くらくて、気の小さい少年、｛      藤木くんのとくいなスポーツ｛      ってなに？    ｛,Fujiki-kun vốn u ám và nhút nhát. Môn thể thao cậu ấy giỏi là gì?,translated_quiz_batch02,
0x3636F,スケート｛,Trượt băng,translated_quiz_batch02,
0x3637E,野球｛,Bóng chày,translated_quiz_batch02,
0x36389,水泳｛,Bơi lội,translated_quiz_batch02,
0x36394,なんと藤木くんはスケート｛      がとくいで、そんなかれを｛      すきになってしまう吉川みどり｛,"Không ngờ Fujiki-kun lại rất giỏi trượt băng, và chính điều đó khiến Yoshikawa Midori-chan...",translated_quiz_batch02,
0x363FF,ちゃんなのであった。｛,...phải lòng cậu ấy.,translated_quiz_batch02,
0x3643D,｛      まる子の家はなんかいだて？｛,Nhà Maruko có mấy tầng?,translated_quiz_batch02,
0x36471,１かい,1 tầng,translated_quiz_batch02,scanner begins one byte into full-width digit; raw ROM verifies answer choice １かい; file_offset corrected to raw full-width digit start
0x3647E,２かい,2 tầng,translated_quiz_batch02,scanner begins one byte into full-width digit; raw ROM verifies answer choice ２かい; file_offset corrected to raw full-width digit start
0x3648B,４かい,4 tầng,translated_quiz_batch02,scanner begins one byte into full-width digit; raw ROM verifies answer choice ４かい; file_offset corrected to raw full-width digit start
0x36498,｛        まる子の家は,Nhà Maruko là...,translated_quiz_batch02,
0x364B1,Pかいだて。｛      これはきほんだから、わすれ｛,"...nhà một tầng. Đây là kiến thức cơ bản đấy, đừng...",translated_quiz_batch02,scanner begins inside full-width digit; raw ROM verifies １かいだて
0x364E5,ないでね。｛,...quên nhé.,translated_quiz_batch02,
0x36519,ヒデじいがいつも｛      花輪君をのせている  ｛      車ってなんていう車？  ｛,Chiếc xe Hideji thường dùng để chở Hanawa-kun là xe gì?,translated_quiz_batch02,
0x36579,ロールスロイス｛,Rolls-Royce,translated_quiz_batch02,
0x3658E,ベンツ｛,Mercedes-Benz,translated_quiz_batch02,
0x3659B,スーパーカー｛,Siêu xe,translated_quiz_batch02,
0x365AE,花輪くんののるピカピカの｛      車は、ロールスロイスという    ｛      すごい車。まる子もなん回か｛,Chiếc xe bóng loáng Hanawa-kun thường đi là một chiếc Rolls-Royce cực kỳ sang. Maruko cũng từng...,translated_quiz_batch02,
0x3661D,のせてもらったことがある。｛,...được ngồi trên xe vài lần.,translated_quiz_batch02,
0x36661,まる子のおねえちゃんが｛      よくよむマンガはなんて｛      いうなまえ？｛,Tạp chí manga mà chị Maruko thường đọc tên là gì?,translated_quiz_batch02,
0x366BF,りぼん｛,Ribon,translated_quiz_batch02,
0x366CC,ジャンプ｛,Jump,translated_quiz_batch02,
0x366DB,マーガレット｛,Margaret,translated_quiz_batch02,
0x366EE,｛        マイペースで、クールな｛      まる子のおねえちゃんだが、｛,Chị Maruko lúc nào cũng điềm tĩnh và có phần lạnh lùng...,translated_quiz_batch02,
0x36739,ほんとうはおとめチックで、｛      りぼんをよくよんでいる。｛,"...nhưng thật ra rất mơ mộng, nên thường đọc Ribon.",translated_quiz_batch02,
0x3679D,まる子やたまちゃんがよく    ｛      行くだがし屋さんのなまえは？｛,Tiệm quà vặt mà Maruko và Tama-chan thường ghé tên là gì?,translated_quiz_batch02,
0x367F3,みつや｛,Mitsuya,translated_quiz_batch02,
0x36800,ききょうや｛,Kikyoya,translated_quiz_batch02,
0x36811,まつや｛,Matsuya,translated_quiz_batch02,
0x3681E,｛        まる子やたまちゃんたちは、｛      大すきなおかしやおもちゃを  ｛,"Maruko, Tama-chan và các bạn thường tới Mitsuya mua...",translated_quiz_batch02,
0x3686F,みつやに買いに行く。みつや  ｛      はまる子たちとは切っても  ｛      切れないあいだがら    ｛,...những món bánh kẹo và đồ chơi yêu thích. Mitsuya là một nơi...,translated_quiz_batch02,
0x368D8,のお店なのである。｛,...gắn bó chẳng thể tách rời với cả nhóm.,translated_quiz_batch02,
