file_offset,source_jp,vi_full,status,notes
0x2BD28,ねがい事,Điều ước,translated_fortune_batch01,
0x2BD37,金  運,Tài lộc,translated_fortune_batch01,
0x2BD44,恋愛運,Tình duyên,translated_fortune_batch01,
0x2BD51,勉強運,Học hành,translated_fortune_batch01,
0x2BD5E,天の声,Lời trời mách,translated_fortune_batch01,
0x2BD6B,幸運の数字,Con số may mắn,translated_fortune_batch01,
0x2BD7C,幸運のいろ,Màu may mắn,translated_fortune_batch01,
0x2BD8D,どんどん  かなうよ,Điều ước cứ thế thành hiện thực,translated_fortune_batch01,
0x2BDA6,ぜんぶ  かなうよ,Mọi điều ước đều thành,translated_fortune_batch01,
0x2BDBD,幸運は  ねてまてじゃよ,Cứ thong thả mà chờ vận may nhé,translated_fortune_batch01,
0x2BDDA,とつぜんかなうよ,Bỗng dưng điều ước sẽ thành,translated_fortune_batch01,
0x2BDF1,きっと  かなうよ,Nhất định sẽ thành hiện thực,translated_fortune_batch01,
0x2BE08,いずれ  かなうよ,Rồi cũng sẽ thành thôi,translated_fortune_batch01,
0x2BE1F,ひとつだけ  かないそう,Có vẻ chỉ một điều ước sẽ thành,translated_fortune_batch01,
0x2BE3C,やればできるよ,Cứ làm là sẽ được,translated_fortune_batch01,
0x2BE51,少しなら  かなうかもね,Một chút thì có lẽ được đấy,translated_fortune_batch01,
0x2BE6E,よくを出さない事だよ,Đừng tham quá nhé,translated_fortune_batch01,
0x2BE89,どりょくをつづけるべきさ,Cứ tiếp tục cố gắng đi,translated_fortune_batch01,
0x2BEA8,しんぼうすればいいのさ,Kiên nhẫn một chút là được,translated_fortune_batch01,
0x2BEC5,かなう・・・カモね,Có lẽ... sẽ thành đó,translated_fortune_batch01,
0x2BEDE,たかのぞみは  いけないよ,Đừng mong cao quá nhé,translated_fortune_batch01,
0x2BEFD,心がけしだいです,Còn tùy vào chính bạn đấy,translated_fortune_batch01,
0x2BF14,よくは出さないことです,Đừng tham lam quá,translated_fortune_batch01,
0x2BF31,がっぽりもうかるよ,Sắp kiếm được một mớ to,translated_fortune_batch01,
0x2BF4A,大金が  ころがりこむよ,Tiền to sắp lăn vào túi,translated_fortune_batch01,
0x2BF67,おもいがけないもうけあり,Có món lời bất ngờ,translated_fortune_batch01,
0x2BF86,家族にゴマをすってみよう,Thử nịnh người nhà xem,translated_fortune_batch01,
0x2BFA5,ちょきんが  よしじゃ,Tiết kiệm là nhất,translated_fortune_batch01,
0x2BFC0,こつこつ  ちょきんしよう,Tích góp từng chút một nhé,translated_fortune_batch01,
0x2BFDF,おこづかいがもらえるカモ,Có khi được cho thêm tiền tiêu vặt,translated_fortune_batch01,
0x2BFFE,むだづかいには気をつけて,Coi chừng tiêu hoang,translated_fortune_batch01,
0x2C01D,下をむいて歩こう,Đi đường nhớ nhìn xuống nhé,translated_fortune_batch01,
0x2C034,かしかりはソンのもと,Vay mượn dễ thiệt thân lắm,translated_fortune_batch01,
0x2C04F,しゃっきんはサイテーだね,Nợ nần thì tệ lắm,translated_fortune_batch01,
0x2C06E,おもわぬムダ使いしそうだ,Có vẻ sẽ lỡ tay tiêu hoang,translated_fortune_batch01,
0x2C08D,サイフをおとすかもね,Có khi làm rơi ví đấy,translated_fortune_batch01,
0x2C0A8,まったくサイテーだよ,Tệ hết chỗ nói luôn,translated_fortune_batch01,
0x2C0C3,サイフのひもはかたく,Giữ chặt hầu bao nhé,translated_fortune_batch01,
0x2C0DE,ピンチですね,Túi tiền đang nguy rồi,translated_fortune_batch01,
