file_offset,source_jp_scanner,byte_length,vi_full,status,notes
0x1A64F,Q回戦だねー  がんばろうね    ｛  ▼,35,"Sang vòng tiếp theo rồi, cố lên nhé!",translated_meaning_batch02,scanner split/count artifact; meaning translated conservatively; runtime semantics pending
0x1A67F,  うん  どんどん  かかってきなさい｛,36,"Ừ, cứ tới hết đi!",translated_meaning_batch02,
0x1A6AD,  まるちゃんも  たまちゃんも｛  ケガしないように  がんばってね｛,64,"Maru-chan, Tama-chan, hai cậu cố lên nhưng đừng để bị thương nhé.",translated_meaning_batch02,
0x1A6F2,  「そうほほえみつつ  じぶんは｛    でなくてよかった…と思う｛    とし子ちゃんであった」｛,90,"Toshiko-chan mỉm cười nói vậy, trong bụng lại thầm nghĩ: may mà mình không phải thi...",translated_meaning_batch02,
0x1A759,  まるちゃん  よくやったねぇ      ｛,36,"Maru-chan, cậu làm tốt lắm.",translated_meaning_batch02,
0x1A78E,  うん  じしんがついてきたよ      ｛  かるい  かるい                  ｛  ▼,76,"Ừ, tớ bắt đầu tự tin rồi. Dễ ợt, dễ ợt.",translated_meaning_batch02,
0x1A7E4,  あんまり  かるくみていると｛  ケガするよ  まるちゃん…｛,58,"Đừng coi nhẹ quá, không khéo bị thương đó, Maru-chan...",translated_meaning_batch02,
0x1A823,  「もはや  たまえのこえなど｛    きこえない  まる子であった…」｛,66,Lúc này Maruko đã chẳng còn nghe lọt lời Tamae nữa...,translated_meaning_batch02,
0x1A86F,  まるちゃん  ごめんね｛  だいじょうぶ？｛,42,"Maru-chan, xin lỗi nhé. Cậu có sao không?",translated_meaning_batch02,
0x1A8A7,  あんたも  なかなかやるねぇ｛  わたしゃ  おそれいったよ｛,58,Cậu cũng khá lắm đấy. Tớ phục rồi.,translated_meaning_batch02,
0x1A8E6,  「まるちゃん｛    としよりくさいよ…」｛,42,"Maru-chan, cậu nói cứ như bà cụ ấy...",translated_meaning_batch02,
0x1A916,印  「アハ  アハ  アハ……」｛,30,A ha... a ha... a ha...,translated_meaning_batch02,leading scanner artifact; visible JP translated; runtime pending
0x1A941,  ベイビー                        ｛  こんどこそ  にがさないよ        ｛  ▼,76,"Baby, lần này tớ không để cậu thoát đâu.",translated_meaning_batch02,
