file_offset,source_jp_scanner,byte_length,vi_full,status,notes
0x1BA3E,  ながいようで  みじかい戦い｛  だったよ｛  ▼,46,Cuộc thi tưởng dài mà hóa ra ngắn ghê.,translated_meaning_batch02,
0x1BA79,Q人で  行けたらいいのにねぇ｛  ▼,33,Giá mà cả hai đứa mình cùng được đi thì hay biết mấy.,translated_meaning_batch02,
0x1BAA4,  まったくね｛,14,"Ừ, đúng vậy.",translated_meaning_batch02,
0x1BABA,  「ウフフフ」                    ｛  「アハハハ」                    ｛  ▼  「目にみえない女の戦いが｛    いま  ここに…」｛,126,Ư hư hư... A ha ha... Một màn ganh đua vô hình giữa hai cô gái đang âm thầm diễn ra...,translated_meaning_batch02,
0x1BB42,  まるちゃん  おしかったね｛  ▼,32,"Maru-chan, tiếc quá nhỉ.",translated_meaning_batch02,
0x1BB6C,  でも  よくがんばったよ…｛,28,Nhưng cậu đã cố gắng lắm rồi...,translated_meaning_batch02,
0x1BB97,  でも  もう  南の島の｛  フルーツや  青い海を｛  たのしめないんだよ！！｛,74,Nhưng giờ cậu không còn được tận hưởng trái cây và biển xanh ở đảo phương Nam nữa đâu!!,translated_meaning_batch02,
0x1BBE6,  「フルーツ…  青い海…｛    まるちゃん  いったい  南の島で｛    なにをするつもりだったの…？」｛,98,"Trái cây... biển xanh... Maru-chan, rốt cuộc cậu định sang đảo phương Nam để làm gì vậy...?",translated_meaning_batch02,
0x1BC4D,  「あぁー」                      ｛,36,Aaa...,translated_meaning_batch02,
0x1BC7B,  やっぱり  まるちゃん｛  つよいねぇー｛  ▼,44,Đúng là Maru-chan mạnh thật đó.,translated_meaning_batch02,
0x1BCB4,  アハハ                          ｛  火事場の  ちからもちって｛  やつだょー｛  ▼,82,"A ha ha, người ta gọi là 'lực sĩ lúc nguy cấp' ấy mà!",translated_meaning_batch02,
0x1BD13,  まるちゃん  それをいうなら      ｛  バカぢからだよ                  ｛  ▼,76,"Maru-chan, phải nói là 'sức mạnh bộc phát lúc nguy cấp' chứ.",translated_meaning_batch02,
0x1BD6C,  えっ！？｛,12,Hả!?,translated_meaning_batch02,
0x1BD86,  ちからもちじゃなくて｛  バカぢからだよ  まるちゃん｛  ▼,58,"Không phải 'lực sĩ', là 'sức mạnh bộc phát' đó, Maru-chan.",translated_meaning_batch02,
0x1BDCF,  な  なにもそこまで｛  いわなくても…｛,40,Có cần nói kỹ đến thế không...,translated_meaning_batch02,
0x1BDFD,印  「あは  あはは…」              ｛,38,A ha... ha ha...,translated_meaning_batch02,leading scanner artifact; visible JP translated; runtime pending
0x1BE35,  ヘーイ                          ｛  ついに  さいごの  対戦に｛  なったねぇ｛  ▼,82,"Hey, cuối cùng cũng đến lần thi cuối rồi nhỉ.",translated_meaning_batch02,
0x1BE91,  ほんとに  さいごにしたいもんだよ｛  ▼,40,Tớ thật sự mong đây là lần cuối đấy.,translated_meaning_batch02,
0x1BEC3,  うけとってくれたまえっ｛  いま  ボクの心は  このバラの｛  ように  赤く  もえているのさ｛  ▼,94,Xin hãy nhận lấy. Lúc này trái tim tớ đang đỏ rực như đóa hồng này.,translated_meaning_batch02,
0x1BF2B,  どうせなら  たべるもの｛  もらったほうが  うれしかったよ…｛  ▼,66,Nếu được chọn thì tớ thích nhận đồ ăn hơn...,translated_meaning_batch02,
0x1BF77,  さいごまで  キミには  ボクの｛  センスは  つうじないようだね｛  ざんねんだよ｛  ▼,84,Đến tận cuối cùng cậu vẫn không hiểu được gu của tớ nhỉ. Tiếc thật.,translated_meaning_batch02,
0x1BFD8,  ………                          ｛,36,.........,translated_meaning_batch02,
0x1C006,  わたしも  やりゃ  できるのかもね｛  ▼,40,Có khi tớ cũng làm được nếu chịu khó nhỉ.,translated_meaning_batch02,
0x1C03D,  まさに  キミの  勝ちさっ｛  この勝利にカンパイ｛,50,Đúng là cậu thắng rồi. Nâng ly vì chiến thắng này!,translated_meaning_batch02,
