file_offset,source_jp_scanner,vi_full,status,notes
0x3584C,まる子とはいったい｛      どういうかんけい？｛,...vậy cô bé có quan hệ thế nào với Maruko?,translated_quiz_batch02,
0x35885,友蔵の知り合いの子｛,Con của một người quen của ông Tomozo,translated_quiz_batch02,
0x3589E,いとこどうし｛,Hai người là chị em họ,translated_quiz_batch02,
0x358B1,きんじょのともだち｛,Bạn hàng xóm,translated_quiz_batch02,
0x358CA,なみだもろいが｛      負けずぎらいな｛      女の子、吉川｛,Yoshikawa Midori là cô bé mau nước mắt nhưng cực kỳ hiếu thắng.,translated_quiz_batch02,
0x35911,みどり。おじい  ｛      ちゃんのしりあい｛      の子で、インパクトがこい。｛,"Cô bé là con của một người quen của ông Tomozo, và cá tính thì đậm khỏi bàn.",translated_quiz_batch02,
0x35968,藤木くんにおもいをよせる。｛,Cô bé có cảm tình với Fujiki-kun.,translated_quiz_batch02,
0x359A3,ようきな山田くんが、まる子と｛      おじいちゃんに｛,Yamada-kun vui tính suýt bị Maruko và ông của cô bé...,translated_quiz_batch02,
0x359E2,だまされそうになっ｛      たのは何の日？    ｛,...lừa vào ngày nào?,translated_quiz_batch02,
0x35A1B,エイプリルフール｛,Ngày Cá tháng Tư,translated_quiz_batch02,
0x35A32,ひなまつり｛,Lễ hội búp bê Hina,translated_quiz_batch02,
0x35A43,ゴールデンウィーク｛,Tuần lễ Vàng,translated_quiz_batch02,
0x35A69,P日エイプリルフールに｛      まる子とおじいちゃんは、山田｛      くんをだまそうとす｛,"Ngày 1 tháng 4, Cá tháng Tư, Maruko và ông định lừa Yamada-kun...",translated_quiz_batch02,scanner begins inside full-width date; raw ROM verifies ４月１日エイプリルフールに
0x35AC3,るのだが、山田くん｛      がまる子をしんじる｛      心にうたれ、うそを｛,"...nhưng trước tấm lòng tin tưởng Maruko của cậu ấy, cả hai lại thấy áy náy...",translated_quiz_batch02,
0x35B16,ほんとうにするのだった。｛,...và cuối cùng biến lời nói dối thành sự thật.,translated_quiz_batch02,
0x35B4F,ねくらな少年、山根くんが、｛      あつくなれる大ファンの｛,"Yamane-kun vốn trầm lặng, nhưng lại là fan cuồng của một nghệ sĩ...",translated_quiz_batch02,
0x35B94,タレントってなんていう｛      なまえ？｛,...người đó tên là gì?,translated_quiz_batch02,
0x35BC7,城みちる｛,Jo Michiru,translated_quiz_batch02,
0x35BD6,西城秀樹｛,Saijo Hideki,translated_quiz_batch02,
0x35BE5,ピートルス｛,Pitorusu,translated_quiz_batch02,
0x35BF6,とにかく、くらいせいかくの｛      彼だが、城みちるのことに｛      なると、人がかわってしまう。｛,"Bình thường cậu ấy lúc nào cũng u ám, nhưng cứ nhắc đến Jo Michiru là như biến thành người khác.",translated_quiz_batch02,
0x35C63,でもじつは、年より｛      にもやさしく、｛      けんきょな、できた｛,"Thật ra cậu còn rất tốt bụng với người lớn tuổi, khiêm tốn và...",translated_quiz_batch02,
0x35CB2,人なのである。｛,...là một cậu bé rất tử tế.,translated_quiz_batch02,
0x35CE1,おねえちゃんのこころやさしい｛      ともだち、よし子さん。  ｛,Yoshiko-san là cô bạn tốt bụng của chị Maruko.,translated_quiz_batch02,
0x35D2A,彼女はいったい何年何組？｛,"Cô ấy học khối mấy, lớp mấy?",translated_quiz_batch02,
0x35D4F,６年２組,"Khối 6, lớp 2",translated_quiz_batch02,numeric/class answer recovered directly from raw ROM; scanner omitted it
0x35D5E,５年３組,"Khối 5, lớp 3",translated_quiz_batch02,numeric/class answer recovered directly from raw ROM; scanner omitted it
0x35D6D,６年５組,"Khối 6, lớp 5",translated_quiz_batch02,numeric/class answer recovered directly from raw ROM; scanner omitted it
0x35D7C,よし子さんは、おねえちゃん｛      とおなじ,Yoshiko-san học cùng khối với chị Maruko...,translated_quiz_batch02,
0x35DB3,Q組。小山くんの｛      ことがすきである。まる子たち｛,...lớp 6-2. Cô ấy thích Koyama-kun. Yoshiko-san từng tặng Maruko và các bạn...,translated_quiz_batch02,scanner begins inside full-width class number; raw ROM verifies ６年２組
