file_offset,source_jp,vi_full,status,notes
0x2C0F1,両思いに  なれるよ,Hai người sẽ thích nhau đấy,translated_fortune_batch01,
0x2C10A,今しかない、告白すべし,"Chỉ có lúc này thôi, tỏ tình đi!",translated_fortune_batch01,
0x2C127,であいのヨ・カ・ン,Có điềm gặp một người đặc biệt,translated_fortune_batch01,
0x2C140,告白されるかもよ,Có khi được người ta tỏ tình đấy,translated_fortune_batch01,
0x2C157,もうひとガンバリだよ,Cố thêm một chút nữa thôi,translated_fortune_batch01,
0x2C172,いいカンジ、じっくりとね,"Khá ổn đấy, cứ từ từ nhé",translated_fortune_batch01,
0x2C191,やっぱりプレゼントだよ,Quà tặng vẫn là chiêu hay nhất,translated_fortune_batch01,
0x2C1AE,まよっちゃダメダメ,Đừng có do dự nhé,translated_fortune_batch01,
0x2C1C7,じぶんをしんじて！,Tin vào chính mình!,translated_fortune_batch01,
0x2C1E0,あきらめちゃだめだよ,Đừng bỏ cuộc nhé,translated_fortune_batch01,
0x2C1FB,でんわしてみよう,Thử gọi điện xem,translated_fortune_batch01,
0x2C212,そばにステキな人が・・・,Có một người tuyệt vời ngay bên cạnh...,translated_fortune_batch01,
0x2C231,いっしょにゲームがいいよ,Chơi game cùng nhau là hợp nhất,translated_fortune_batch01,
0x2C250,デートにさそってみよう,Thử rủ người ta đi chơi xem,translated_fortune_batch01,
0x2C26D,ライバルが出てくるのさ,Tình địch sắp xuất hiện rồi,translated_fortune_batch01,
0x2C28A,その人でいいのかい？,Người đó thật sự ổn chứ?,translated_fortune_batch01,
0x2C2A5,その時まで待つことだね,Cứ chờ đến đúng lúc nhé,translated_fortune_batch01,
0x2C2C2,あきらめるべきだね,Có lẽ nên từ bỏ thôi,translated_fortune_batch01,
0x2C2DB,しばらくは  おとなしく,Tạm thời cứ ngoan ngoãn yên phận nhé,translated_fortune_batch01,
0x2C2F8,甘いことばにちゅういです,Cẩn thận lời đường mật,translated_fortune_batch01,
0x2C317,カンが  さえてるよ,Đầu óc hôm nay nhạy bén lắm,translated_fortune_batch01,
0x2C330,テスト運がよさそうじゃよ,Vận thi cử có vẻ tốt đấy,translated_fortune_batch01,
0x2C34F,じつりょく  はっきじゃ！,Đến lúc phát huy thực lực rồi!,translated_fortune_batch01,
0x2C36E,国語がラッキーだよ,Môn Văn gặp may,translated_fortune_batch01,
0x2C387,算数がいいみたいだよ,Môn Toán có vẻ thuận lợi,translated_fortune_batch01,
0x2C3A2,理科が幸運のカギ,Môn Khoa học là chìa khóa may mắn,translated_fortune_batch01,
0x2C3B9,社会で開運だよ,Môn Xã hội sẽ đem may mắn,translated_fortune_batch01,
0x2C3CE,音楽がいいみたい,Môn Âm nhạc có vẻ tốt,translated_fortune_batch01,
0x2C3E5,美術でラッキーに,Môn Mỹ thuật sẽ gặp may,translated_fortune_batch01,
0x2C3FC,家庭科で開運だよ,Môn Gia chánh sẽ đem may mắn,translated_fortune_batch01,
0x2C413,体育が開運のカギ,Môn Thể dục là chìa khóa may mắn,translated_fortune_batch01,
0x2C42A,努力を重ねることだね,Cứ chăm chỉ từng ngày nhé,translated_fortune_batch01,
0x2C445,まずは基本をしっかりね,Trước hết phải chắc phần cơ bản,translated_fortune_batch01,
0x2C462,まずは復習だよ,Trước hết ôn bài đã,translated_fortune_batch01,
0x2C477,あんた、予習はだいじだよ,"Này, xem bài trước quan trọng lắm đó",translated_fortune_batch01,
0x2C496,ひと休み  しちゃおう,Nghỉ một chút đi,translated_fortune_batch01,
0x2C4B1,宿題は  やったのかい？,Bài tập về nhà làm chưa?,translated_fortune_batch01,
0x2C4CE,カンにたよっちゃだめだよ,Đừng chỉ dựa vào đoán mò nhé,translated_fortune_batch01,
0x2C4ED,ものわすれしそうだね,Có vẻ hôm nay dễ quên đồ,translated_fortune_batch01,
0x2C508,どりょく、どりょく,"Cố gắng, cố gắng!",translated_fortune_batch01,
0x2C521,やる気しだいです,Tất cả tùy vào quyết tâm,translated_fortune_batch01,
