file_offset,source_jp_scanner,vi_full,status,notes
0x3288E,４０才。｛      やや気がみじかいが、世界で  ｛      いちばんまる子とおねえちゃん｛,...40 tuổi. Bà hơi nóng tính nhưng trên đời này thương Maruko và chị gái...,translated_quiz_batch03,scanner omitted leading full-width ４; raw ROM corrected
0x328E5,      のことを大切におもっている。｛      まる子のバカげた  ｛      こうどうをおさえる｛,...hơn bất cứ ai. Bà cũng là người chuyên ngăn những hành động ngốc nghếch của Maruko...,translated_quiz_batch03,
0x32942,      やくでもある。｛,...lại.,translated_quiz_batch03,
0x32971,      いつもクールなおねえちゃんは｛      小学,Chị gái lúc nào cũng điềm tĩnh của Maruko là học sinh...,translated_quiz_batch03,
0x3299F,６年生。西城秀樹のファン｛,...lớp 6 và là fan của Saijo Hideki.,translated_quiz_batch03,scanner omitted leading full-width ６; raw ROM corrected
0x329BE,      のかのじょの理想のおとうさん｛      はタレントでたとえるとだれ？｛,"Nếu ví với người nổi tiếng, mẫu người cha lý tưởng của chị là ai?",translated_quiz_batch03,
0x32A0B,宇津井健｛,Utsui Ken,translated_quiz_batch03,
0x32A1A,萩本欽一｛,Hagimoto Kinichi,translated_quiz_batch03,
0x32A29,本郷  猛｛,Hongo Takeshi,translated_quiz_batch03,
0x32A38,        まる子にしばしばめいわくを｛      かけられるおねえちゃんは｛      グラタンがすきな小学,"Chị gái, người thường xuyên bị Maruko làm phiền, thích gratin và đang học...",translated_quiz_batch03,
0x32A96,６年生。｛,...lớp 6.,translated_quiz_batch03,scanner omitted leading full-width ６; raw ROM corrected
0x32AA5,      ドライなせいかくのかのじょの｛      理想のおとうさんは宇津井健｛      である。｛,"Với tính cách khá lạnh và điềm tĩnh, mẫu người cha lý tưởng của chị là Utsui Ken.",translated_quiz_batch03,
0x32B1D,      えばりんぼうだけど、男の子｛      らしくたのもしい大野君の｛,Ono-kun tuy hay ra vẻ nhưng rất đáng tin và đúng chất con trai. Ước mơ của cậu là...,translated_quiz_batch03,
0x32B64,      ゆめはいったいなにになる｛      こと？｛,...trở thành gì?,translated_quiz_batch03,
0x32B97,船乗り｛,Thủy thủ,translated_quiz_batch03,
0x32BA4,先生｛,Giáo viên,translated_quiz_batch03,
0x32BAF,アイドル｛,Thần tượng,translated_quiz_batch03,
0x32BBE,  ｛        杉山くんと二人でいつか｛      船乗りになることが大野君の｛,Ước mơ của Ono-kun là một ngày nào đó cùng Sugiyama-kun...,translated_quiz_batch03,
0x32C09,      ゆめ。,...trở thành thủy thủ.,translated_quiz_batch03,
0x32C15,３学期には東京へ転校｛      してしまうことに｛      なっている。｛,"Nhưng đến học kỳ 3, cậu sẽ phải chuyển trường lên Tokyo.",translated_quiz_batch03,scanner omitted leading full-width ３; raw ROM corrected
0x32C79,      おっちょこちょいだけど明るい｛      山田かよ子ちゃん。およめさん｛,Yamada Kayoko tuy hậu đậu nhưng rất vui vẻ. Kayo-chan mơ được làm cô dâu...,translated_quiz_batch03,
0x32CC6,      になるのがゆめのかよちゃん｛      のすきな人ってだれ？｛,...vậy người cô bé thích là ai?,translated_quiz_batch03,
0x32D09,杉山くん｛,Sugiyama-kun,translated_quiz_batch03,
0x32D18,はまじ｛,Hamaji,translated_quiz_batch03,
0x32D25,中川くん｛,Nakagawa-kun,translated_quiz_batch03,
0x32D34,        杉山くんにおもいをよせる｛      かよちゃんだが、かのじょは｛      まる子にあっさりと好きな人｛,"Kayo-chan thầm thích Sugiyama-kun, nhưng Maruko lại vô tư nói toạc ra người cô bé thích...",translated_quiz_batch03,
0x32D9F,      をばらされて｛      しまう、なん｛      とも気のどく｛,...khiến bí mật bị lộ mất. Đúng là...,translated_quiz_batch03,
0x32DE0,      な少女である。｛,...một cô bé đáng thương.,translated_quiz_batch03,
0x32E0F,      サッカーが大すきながんばり屋｛      で、ついにはプロのサッカー｛,Cậu bé chăm chỉ mê bóng đá và sau này thật sự trở thành cầu thủ chuyên nghiệp...,translated_quiz_batch03,
0x32E5A,      せんしゅになった男の子の｛      なまえは？｛,...tên là gì?,translated_quiz_batch03,
0x32E91,長谷川ケンタ｛,Hasegawa Kenta,translated_quiz_batch03,
0x32EA4,田中ケンジ｛,Tanaka Kenji,translated_quiz_batch03,
0x32EB5,小沢太郎｛,Ozawa Taro,translated_quiz_batch03,
0x32EC4,        がんばり屋のサッカー少年、｛      長谷川ケンタくん。さいのうと｛      どりょくのかいがあって、プロ｛,Hasegawa Kenta là một cậu bé bóng đá rất chăm chỉ. Nhờ tài năng và nỗ lực...,translated_quiz_batch03,
0x32F35,      のサッカーせんしゅになるの  ｛      だった。｛,...cậu đã trở thành cầu thủ bóng đá chuyên nghiệp.,translated_quiz_batch03,
0x32F8B,      大野くんとなかよしの杉山くん｛      だが、かれらはいったい何年  ｛,Sugiyama-kun rất thân với Ono-kun. Hai cậu học lớp mấy...,translated_quiz_batch03,
0x32FD8,      何組？｛,...và lớp nào?,translated_quiz_batch03,
0x32FEB,３年４組,Lớp 3-4,translated_quiz_batch03,answer choice recovered directly from raw ROM
0x32FFA,５年２組,Lớp 5-2,translated_quiz_batch03,answer choice recovered directly from raw ROM
0x33009,３年１組,Lớp 3-1,translated_quiz_batch03,answer choice recovered directly from raw ROM
0x33018,        杉山くんたち、すなわち  ｛      まる子のクラスは,"Sugiyama-kun và các bạn, tức lớp của Maruko, là...",translated_quiz_batch03,
0x33050,３年４組。｛      杉山くんは大野くんとおな  ｛,...lớp 3-4. Sugiyama-kun cũng giống Ono-kun...,translated_quiz_batch03,scanner started inside full-width ３年４; raw ROM corrected
0x33083,      じく、クラスのみんなの    ｛      たよれる男の子なのである。｛,...là một cậu bạn mà cả lớp có thể dựa vào.,translated_quiz_batch03,
0x330E9,      クラス内ではまじ、ブー太郎｛      とともに,"Trong lớp, Hamaji và Buutaro cùng với...",translated_quiz_batch03,
0x33119,Ｂ級男子トリオと言え｛,...được gọi là 'bộ ba con trai hạng B'.,translated_quiz_batch03,scanner omitted full-width Ｂ; raw ROM corrected
0x33134,      ば、あとひとりはだれ？｛,Người còn lại là ai?,translated_quiz_batch03,
0x33157,関口くん｛,Sekiguchi-kun,translated_quiz_batch03,
0x33166,寺田くん｛,Terada-kun,translated_quiz_batch03,
0x33175,関根くん｛,Sekine-kun,translated_quiz_batch03,
0x33184,        ときどき、クラスのいじめ｛      っ子になる関口くん。でも、｛      こんじょうのないヤツがきらい｛,Sekiguchi-kun đôi lúc bắt nạt bạn trong lớp. Nhưng cậu ghét những kẻ thiếu ý chí...,translated_quiz_batch03,
0x331F1,      で、がんばるもののみかた。｛      まる子も関口くん｛      に、じてんしゃの｛,...và luôn đứng về phía những người chịu cố gắng. Maruko cũng từng được Sekiguchi-kun...,translated_quiz_batch03,
0x33248,      のりかたをおしえて｛      もらった。｛,...chỉ cách đi xe đạp.,translated_quiz_batch03,
0x3328D,      まる子の大のなかよしで、｛      女の子らしくてやさしい｛,"Tama-chan là bạn thân nhất của Maruko, dịu dàng và rất nữ tính...",translated_quiz_batch03,
0x332D0,      たまちゃんのフルネームは？｛,...tên đầy đủ của cô bé là gì?,translated_quiz_batch03,
0x332F7,穂波たまえ｛,Honami Tamae,translated_quiz_batch03,
0x33308,岩崎たまえ｛,Iwasaki Tamae,translated_quiz_batch03,
0x33319,穂澄たまえ｛,Hozumi Tamae,translated_quiz_batch03,
0x3332A,        まる子の親友、たまちゃん。｛      フルネームは穂波たまえ。    ｛      ときどきタミーとなって心の  ｛,"Tama-chan, bạn thân của Maruko, tên đầy đủ là Honami Tamae. Đôi lúc cô bé hóa thành 'Tammy' và...",translated_quiz_batch03,
0x3339B,      ポエムをつくったりする｛      自分がちょっぴりお気に入り｛      だったりする。｛,...làm thơ theo cảm xúc. Có vẻ chính cô bé cũng khá thích phiên bản ấy của mình.,translated_quiz_batch03,
0x33413,      ときどき、タミーとなって、  ｛      心のポエムをつくるたまちゃん｛,"Khi hóa thành 'Tammy' và làm thơ, báu vật của Tama-chan...",translated_quiz_batch03,
