file_offset,source_jp_scanner,vi_full,status,notes
0x33460,      のたからものってなに？｛,...là gì?,translated_quiz_batch03,
0x33483,ヒデキのサイン｛,Chữ ký của Hideki,translated_quiz_batch03,
0x33498,お人形｛,Búp bê,translated_quiz_batch03,
0x334A5,ピアノ｛,Đàn piano,translated_quiz_batch03,
0x334B2,  ｛        のんきなまる子をやさしく  ｛      見まもる、やさしい少女｛,"Tama-chan là cô bé dịu dàng, luôn lặng lẽ trông chừng Maruko vô tư...",translated_quiz_batch03,
0x334FD,      たまちゃん。かのじょもまた｛      ヒデキファンで、たからもの｛      は、もちろんヒデキの｛,"...Cô cũng là fan Hideki, nên báu vật dĩ nhiên là...",translated_quiz_batch03,
0x33562,      サインである。｛,...chữ ký của Hideki.,translated_quiz_batch03,
0x33591,      まる子とちがってしっかり｛      しているたまちゃんが｛,Tama-chan chín chắn hơn Maruko. Cô bé đang theo học...,translated_quiz_batch03,
0x335D2,      ならってるおけいこはなに？｛,...môn năng khiếu nào?,translated_quiz_batch03,
0x335F9,ピアノ｛,Piano,translated_quiz_batch03,
0x33606,ダンス｛,Khiêu vũ,translated_quiz_batch03,
0x33613,フルート｛,Sáo flute,translated_quiz_batch03,
0x33622,        たまちゃんはおうちに｛      ベッドがあったり、ピアノを｛      ならいに行ったりと、まる子｛,"Nhà Tama-chan có cả giường riêng, cô còn đi học piano, nên so với Maruko...",translated_quiz_batch03,
0x33689,      とはちがって女の子らしい｛      人生をあゆんでいる。｛,...quả là đang sống một cuộc đời rất 'con gái'.,translated_quiz_batch03,
0x336E7,      やさしくって、おだやかな、｛      まる子のクラスのたんにん  ｛,Người giáo viên chủ nhiệm hiền hậu và điềm đạm của lớp Maruko...,translated_quiz_batch03,
0x33730,      の先生のなまえは？｛,...tên là gì?,translated_quiz_batch03,
0x3374F,戸川先生｛,Thầy Togawa,translated_quiz_batch03,
0x3375E,戸山先生｛,Thầy Toyama,translated_quiz_batch03,
0x3376D,柴田先生｛,Thầy Shibata,translated_quiz_batch03,
0x3377C,        やさしいまる子のたんにん｛      の先生は戸川先生。｛      さんかんびにはシャレを言う｛,"Giáo viên chủ nhiệm dịu dàng của Maruko là thầy Togawa. Ngay cả trong ngày phụ huynh dự giờ, thầy còn...",translated_quiz_batch03,
0x337DF,      ようなおちゃめなところも｛      ある。｛,"...pha trò, khá tinh nghịch.",translated_quiz_batch03,
0x3382F,        まる子のクラスメイトの  ｛        とくちゃん。とっても    ｛,Toku-chan là bạn cùng lớp của Maruko. Cậu rất...,translated_quiz_batch03,
0x33878,        やさしくて、お人よしな  ｛        この少年のフルネームは？｛,...hiền và tốt bụng. Tên đầy đủ của cậu là gì?,translated_quiz_batch03,
0x338C1,杉浦とくぞう    ｛,Sugiura Tokuzo,translated_quiz_batch03,
0x338D8,徳田良治                ｛,Tokuda Ryoji,translated_quiz_batch03,
0x338F7,徳川家康        ｛,Tokugawa Ieyasu,translated_quiz_batch03,
0x3390E,  ｛        やさしすぎる少年｛      とくちゃんこと、  ｛,"Cậu bé hiền quá mức ấy, Toku-chan, tức...",translated_quiz_batch03,
0x3394B,      杉浦とくぞうくん。｛      家がお花やさんなので、｛      いつもきれいなお花をいっぱい  ｛,...Sugiura Tokuzo. Nhà cậu bán hoa nên ngày nào cậu cũng mang rất nhiều hoa đẹp...,translated_quiz_batch03,
0x339AE,      学校にもってくる。                        ｛  ｛,...đến trường.,translated_quiz_batch03,
0x339FD,      まる子やたまちゃんとなかよし｛      のとし子ちゃん。さて        ｛,Toshiko-chan là bạn thân của Maruko và Tama-chan. Vậy...,translated_quiz_batch03,
0x33A50,３人のかよう小学校っ        ｛      てなんていう小学校？        ｛,...ngôi trường mà cả ba cùng theo học tên là gì?,translated_quiz_batch03,scanner omitted full-width ３; raw ROM corrected
0x33A97,入江小学校      ｛,Trường Tiểu học Irie,translated_quiz_batch03,
0x33AAE,かもめ第３小学校｛,Trường Tiểu học Kamome số 3,translated_quiz_batch03,scanner split full-width ３; raw ROM merged
0x33AC5,清水小学校      ｛,Trường Tiểu học Shimizu,translated_quiz_batch03,
0x33ADC,        まる子や、たまちゃんと｛      なかよしの女の子。とし子｛      ちゃんやまる子たち｛,"Toshiko-chan là cô bạn thân của Maruko và Tama-chan. Cả Toshiko, Maruko và các bạn...",translated_quiz_batch03,
0x33B3B,      は、静岡県の清水市｛      に住んでいて、入江｛      小学校に通う小学,"...sống ở thành phố Shimizu, tỉnh Shizuoka và học tại Trường Tiểu học Irie, học sinh...",translated_quiz_batch03,
0x33B8D,３年生。    ｛,...lớp 3.,translated_quiz_batch03,scanner omitted full-width ３; raw ROM corrected
0x33BB9,      一目でブー太郎の妹だとわかる｛      この少女だが、この女の子の  ｛,Nhìn một cái là biết ngay cô bé này là em gái Buutaro. Tên đầy đủ của cô bé...,translated_quiz_batch03,
0x33C06,      フルネームは？      ｛,...là gì?,translated_quiz_batch03,
0x33C27,富田とみ子      ｛,Tomita Tomiko,translated_quiz_batch03,
0x33C3E,ブー花子        ｛,Buu Hanako,translated_quiz_batch03,
0x33C55,吉山としえ      ｛,Yoshiyama Toshie,translated_quiz_batch03,
0x33C6C,        ブー太郎の妹。なまえは  ｛      富田とみ子。おさないにも  ｛      かかわらず教会にかよい、  ｛,"Em gái Buutaro tên là Tomita Tomiko. Dù còn nhỏ, cô bé vẫn đi nhà thờ...",translated_quiz_batch03,
0x33CD7,      まる子のだらしなさをすぐに｛      見ぬいたするどい少女。    ｛      「ブーブー」言う  ｛,...và lập tức nhìn thấu tính luộm thuộm của Maruko. Cách cô bé cứ 'buu buu'...,translated_quiz_batch03,
0x33D3A,      ところはやはり｛      兄ににている。｛,...quả nhiên rất giống anh trai.,translated_quiz_batch03,
0x33D7F,      人一倍くらい少年、永沢くん｛      だが、かれのお父さんの    ｛,Nagasawa-kun là cậu bé u ám hơn người. Tên của bố cậu...,translated_quiz_batch03,
0x33DC8,      なまえは？｛,...là gì?,translated_quiz_batch03,
0x33DDF,永沢一雄｛,Nagasawa Kazuo (一雄),translated_quiz_batch03,
0x33DEE,永沢一郎｛,Nagasawa Ichiro,translated_quiz_batch03,
0x33DFD,永沢和雄｛,Nagasawa Kazuo (和雄),translated_quiz_batch03,
0x33E0C,        ジメジメくらいタマネギ頭の｛      少年、永沢くんのお父さんの  ｛      なまえは永沢一雄。火事を    ｛,Cậu bé đầu hành tây ẩm ương và u ám Nagasawa-kun có bố tên Nagasawa Kazuo. Sau vụ cháy...,translated_quiz_batch03,
0x33E7D,      のりこえて、強く生きる男で  ｛      ある。｛,...ông vẫn mạnh mẽ vượt qua và tiếp tục sống.,translated_quiz_batch03,
0x33ED1,      永沢くんは火事にあったり    ｛      して、いろいろと運がわるい  ｛,"Nagasawa-kun gặp hỏa hoạn và đủ chuyện xui xẻo, nhưng lại rất thương em trai...",translated_quiz_batch03,
0x33F1E,      のだが、おとうと思いである。｛      そのおとうとの名前は？      ｛,...Em trai cậu tên là gì?,translated_quiz_batch03,
0x33F6B,永沢太郎｛,Nagasawa Taro,translated_quiz_batch03,
0x33F7A,永沢五郎｛,Nagasawa Goro,translated_quiz_batch03,
0x33F89,永沢次郎｛,Nagasawa Jiro,translated_quiz_batch03,
0x33F98,        火事というショッキングな  ｛      じけんで、永沢くんはさらに  ｛      くらくなってしまう。しかし、｛,Vụ hỏa hoạn đầy ám ảnh khiến Nagasawa-kun càng trở nên u ám hơn. Tuy vậy...,translated_quiz_batch03,
