file_offset,source_jp_scanner,vi_full,status,notes
0x31D47,      モモエちゃんが大好きなまる｛      子は、コンサートで｛,"Maruko, cô bé mê Momoe-chan, tại buổi hòa nhạc đã...",translated_quiz_batch03,
0x31D88,      マヨネーズと何を｛      プレゼントした？｛,...tặng mayonnaise cùng với thứ gì?,translated_quiz_batch03,
0x31DBD,かにカンとカンきり｛,Hộp cua và đồ khui hộp,translated_quiz_batch03,
0x31DD6,きゅうりとツナカン｛,Dưa leo và cá ngừ đóng hộp,translated_quiz_batch03,
0x31DEF,おさらとちくわ｛,Đĩa và chikuwa,translated_quiz_batch03,
0x31E04,        さくらももこことまる子  ｛      はモモエちゃんが大すきな｛      小学,"Sakura Momoko, tức Maruko, là cô bé rất mê Momoe-chan và đang học tiểu học...",translated_quiz_batch03,
0x31E50,３年生。,...lớp 3.,translated_quiz_batch03,scanner started inside full-width ３; raw ROM corrected
0x31E6D,      血液型は,Nhóm máu của cô bé là...,translated_quiz_batch03,
0x31E7B,Ａ型で          ｛      なまけもの。            ｛      このプレゼント、はたして｛,"...nhóm A, lại còn lười biếng. Món quà này liệu có...",translated_quiz_batch03,scanner started inside full-width Ａ; raw ROM corrected
0x31ED2,      モモエちゃんはたべてくれ｛      たのだろうか…？｛,...được Momoe-chan ăn thật không nhỉ...?,translated_quiz_batch03,
0x31F23,      おうし座で,Maruko thuộc cung Kim Ngưu và...,translated_quiz_batch03,
0x31F33,９才になるまる子｛      のおたんじょうびっていつ？｛,...đã 9 tuổi. Sinh nhật của cô bé là ngày nào?,translated_quiz_batch03,scanner omitted leading full-width ９; raw ROM corrected
0x31F75,５月８日,Ngày 8 tháng 5,translated_quiz_batch03,answer choice recovered directly from raw ROM
0x31F84,４月２３日,Ngày 23 tháng 4,translated_quiz_batch03,answer choice recovered directly from raw ROM
0x31F95,１０月１日,Ngày 1 tháng 10,translated_quiz_batch03,answer choice recovered directly from raw ROM
0x31FA6,        ウキウキのおたんじょうび｛      のはずが、花輪君、丸尾君、｛      みどりちゃんというメンバー｛,"Đáng lẽ sinh nhật phải thật háo hức, nhưng Hanawa-kun, Maruo-kun và Midori-chan...",translated_quiz_batch03,
0x32011,      がもれなくついて来ることで｛      ハッピーなきぶんになりきれ｛      ないまる子であった。｛,"...lại kéo đến đủ cả, khiến Maruko chẳng thể vui trọn vẹn.",translated_quiz_batch03,
0x32095,      ハンバーグとアイスクリームが｛      大すきなまる子のおこづかい｛,Maruko mê hamburger và kem. Tiền tiêu vặt của cô bé...,translated_quiz_batch03,
0x320E8,１日いくら？｛,...mỗi ngày là bao nhiêu?,translated_quiz_batch03,scanner omitted leading full-width １; raw ROM corrected
0x320FB,３０円,30 yên,translated_quiz_batch03,answer choice recovered directly from raw ROM
0x32108,１００万円｛,1.000.000 yên,translated_quiz_batch03,scanner started inside full-width digits; raw ROM corrected
0x32119,５０円,50 yên,translated_quiz_batch03,answer choice recovered directly from raw ROM
