file_offset,source_jp,vi_previous,vi_revised,reason,apply_to
0x31D47,"モモエちゃんが大好きなまる子は、コンサートで","Maruko, cô bé mê Momoe-chan, tại buổi hòa nhạc đã...","Maruko mê Momoe-chan lắm. Ở buổi hòa nhạc, cô bé đã...","Tách câu cho tự nhiên hơn trong lời dẫn câu hỏi","quiz_batch03_part1_vi.csv"
0x31D88,"マヨネーズと何をプレゼントした？","...tặng mayonnaise cùng với thứ gì?","...tặng mayonnaise kèm theo thứ gì?","Cách hỏi tiếng Việt tự nhiên hơn","quiz_batch03_part1_vi.csv"
0x31E04,"さくらももこことまる子はモモエちゃんが大すきな小学","Sakura Momoko, tức Maruko, là cô bé rất mê Momoe-chan và đang học tiểu học...","Sakura Momoko, tức Maruko, rất mê Momoe-chan và là học sinh tiểu học...","Bớt cấu trúc dịch sát tiếng Nhật","quiz_batch03_part1_vi.csv"
0x31E7B,"Ａ型で なまけもの。 このプレゼント、はたして","...nhóm A, lại còn lười biếng. Món quà này liệu có...","...nhóm máu A và khá lười biếng. Món quà này liệu có...","Câu mô tả gọn và bớt gượng","quiz_batch03_part1_vi.csv"
0x31ED2,"モモエちゃんはたべてくれたのだろうか…？","...được Momoe-chan ăn thật không nhỉ...?","...Momoe-chan có chịu ăn món quà đó không nhỉ...?","Khôi phục chủ thể và sắc thái hài của くれた","quiz_batch03_part1_vi.csv"
0x31FA6,"ウキウキのおたんじょうびのはずが、花輪君、丸尾君、みどりちゃんというメンバー","Đáng lẽ sinh nhật phải thật háo hức, nhưng Hanawa-kun, Maruo-kun và Midori-chan...","Đáng lẽ sinh nhật phải vui lắm, vậy mà Hanawa-kun, Maruo-kun và Midori-chan...","Tự nhiên hơn, giữ nhịp chọc ghẹo của lời dẫn","quiz_batch03_part1_vi.csv"
0x32011,"がもれなくついて来ることで ハッピーなきぶんになりきれないまる子であった。","...lại kéo đến đủ cả, khiến Maruko chẳng thể vui trọn vẹn.","...lại kéo tới đủ bộ, khiến Maruko chẳng thể vui cho trọn.","Giữ punchline, Việt hóa khẩu ngữ hơn","quiz_batch03_part1_vi.csv"
0x32126,"このたいせつなおこづかいをかみしばい屋で使いはたす","Maruko lại đem khoản tiền tiêu vặt quý giá ấy tiêu sạch ở hàng kể chuyện tranh...","Maruko lại đem sạch khoản tiền tiêu vặt quý giá ấy tiêu ở gánh kể chuyện tranh...","Gọn hơn và hợp bối cảnh kamishibai đường phố","quiz_batch03_part1_vi.csv"
0x3223E,"このじいさんっていったい何才？","...thế ông cụ này rốt cuộc bao nhiêu tuổi?","...thế ông cụ này rốt cuộc bao nhiêu tuổi vậy?","Nhịp hỏi tự nhiên hơn","quiz_batch03_part1_vi.csv"
0x32303,"いちばんのりかいしゃであり、なかよし。時に、心のはいくをよむ。","...là người hiểu Maruko nhất, cũng là bạn thân của cô bé. Thi thoảng còn ngâm haiku trong lòng.","...là người hiểu Maruko nhất, cũng là bạn thân của cô bé. Thỉnh thoảng ông còn ngâm haiku trong lòng.","Bổ sung chủ thể để câu không cụt","quiz_batch03_part1_vi.csv"
0x3237B,"まる子はきらいで、おじいちゃんはすきな、頭がよく","Maruko ghét, còn ông nội lại thích. Món ăn được cho là giúp đầu óc...","Maruko ghét, còn ông thì thích. Món ăn nào được cho là ăn vào sẽ giúp đầu óc...","Làm câu hỏi nối sang dòng sau tự nhiên hơn","quiz_batch03_part1_vi.csv"
0x3240A,"これでネギには頭がよくなるというこうかがないこと","Vậy là ta biết hành lá chẳng thật sự có tác dụng làm thông minh...","Vậy là biết hành lá chẳng hề giúp đầu óc thông minh hơn...","Bớt giọng thuyết minh sách vở, giữ trò đùa","quiz_batch03_part1_vi.csv"
0x32457,"がわかった…？ ちなみに 友蔵のすきなものは やわらかくて、","...chăng? Nhân tiện, ông Tomozou thích những món mềm mềm...","...chắc vậy? Nhân tiện, ông Tomozou thích những món mềm mềm...","Giữ dấu hỏi châm biếm của nguồn","quiz_batch03_part1_vi.csv"
0x3259A,"目立たないおばあちゃんも じつは、じてんしゃにのれた。 このじじつは、まる子が","Người bà ít nổi bật ấy thật ra biết đi xe đạp. Chuyện này được phát hiện khi Maruko...","Bà tuy ít khi nổi bật, nhưng thật ra lại biết đi xe đạp. Maruko phát hiện chuyện này khi...","Tránh cụm 'người bà ít nổi bật' gượng trong tiếng Việt","quiz_batch03_part1_vi.csv"
0x32675,"酒に人生をささげる男、ヒロシは、巨人と酒をこよなく愛する","Hiroshi, người đàn ông dâng đời mình cho rượu, mê đội Giants và rượu hơn gì hết...","Hiroshi, người đàn ông dành cả đời cho rượu, mê đội Giants và rượu hơn gì hết...","Giữ chất đùa phóng đại nhưng câu Việt tự nhiên hơn","quiz_batch03_part1_vi.csv"
