unicode,code_hex,glyph_id_hex,glyph_source,visual_key,notes
 ,8440,022D,native, ,
!,8441,0151,native,!,
"""",8442,083A,custom,"""",
',8443,083B,custom,',
(,8444,0157,native,(,
),8445,0158,native,),
",",8446,014D,native,",",
-,8447,083C,custom,-,
.,8448,014E,native,.,
/,8449,0202,native,/,
:,844A,083D,custom,:,
?,844B,0150,native,?,
~,844C,0154,native,~,
“,844D,083A,custom,"""",shares straight double-quote glyph
”,844E,083A,custom,"""",shares straight double-quote glyph
0,844F,0000,native,0,
1,8450,0001,native,1,
2,8451,0002,native,2,
3,8452,0003,native,3,
4,8453,0004,native,4,
5,8454,0005,native,5,
6,8455,0006,native,6,
7,8456,0007,native,7,
8,8457,0008,native,8,
9,8458,0009,native,9,
A,8459,0517,native,A,
B,845A,0705,native,B,
C,845B,083E,custom,C,
D,845C,083F,custom,D,
E,845D,0840,custom,E,
F,845E,0841,custom,F,
G,845F,0842,custom,G,
H,8460,0843,custom,H,
I,8461,074B,native,I,
J,8462,0844,custom,J,
K,8463,0519,native,K,
L,8464,074C,native,L,
M,8465,0814,native,M,
N,8466,0845,custom,N,
O,8467,051A,native,O,
P,8468,0815,native,P,
Q,8469,0216,native,Q,
R,846A,0518,native,R,
S,846B,020D,native,S,
T,846C,0516,native,T,
U,846D,0846,custom,U,
V,846E,020C,native,V,
W,846F,0847,custom,W,
X,8470,0848,custom,X,
Y,8471,0849,custom,Y,
Z,8472,084A,custom,Z,
a,8473,084B,custom,a,
b,8474,084C,custom,b,
c,8475,084D,custom,c,
d,8476,084E,custom,d,
e,8477,074F,native,e,
f,8478,084F,custom,f,
g,8479,0850,custom,g,
h,847A,0851,custom,h,
i,847B,0852,custom,i,
j,847C,0853,custom,j,
k,847D,0854,custom,k,
l,847E,0855,custom,l,
m,8480,0856,custom,m,
n,8481,0857,custom,n,
o,8482,074D,native,o,
p,8483,0858,custom,p,
q,8484,0859,custom,q,
r,8485,085A,custom,r,
s,8486,085B,custom,s,
t,8487,085C,custom,t,
u,8488,0751,native,u,
v,8489,074E,native,v,
w,848A,085D,custom,w,
x,848B,085E,custom,x,
y,848C,0750,native,y,
z,848D,085F,custom,z,
À,848E,0860,custom,À,
Â,848F,0861,custom,Â,
Ó,8490,0862,custom,Ó,
Ô,8491,0863,custom,Ô,
Ý,8492,090A,custom,Ý,
à,8493,090B,custom,à,
á,8494,090C,custom,á,
â,8495,090D,custom,â,
ã,8496,090E,custom,ã,
è,8497,090F,custom,è,
é,8498,0910,custom,é,
ê,8499,0911,custom,ê,
ì,849A,0912,custom,ì,
í,849B,0913,custom,í,
ñ,849C,0914,custom,ñ,
ò,849D,0915,custom,ò,
ó,849E,0916,custom,ó,
ô,849F,0917,custom,ô,
õ,84A0,0918,custom,õ,
ù,84A1,0919,custom,ù,
ú,84A2,091A,custom,ú,
ý,84A3,091B,custom,ý,
Ă,84A4,091C,custom,Ă,
ă,84A5,091D,custom,ă,
Đ,84A6,0963,custom,Đ,uses Probe 006 runtime-proven custom slot 0x0963
đ,84A7,091E,custom,đ,
ĩ,84A8,091F,custom,ĩ,
ũ,84A9,0920,custom,ũ,
Ơ,84AA,0921,custom,Ơ,
ơ,84AB,0922,custom,ơ,
Ư,84AC,0923,custom,Ư,
ư,84AD,0924,custom,ư,
ạ,84AE,0925,custom,ạ,
Ả,84AF,0926,custom,Ả,
ả,84B0,0927,custom,ả,
Ấ,84B1,0928,custom,Ấ,
ấ,84B2,0929,custom,ấ,
Ầ,84B3,092A,custom,Ầ,
ầ,84B4,092B,custom,ầ,
ẩ,84B5,092C,custom,ẩ,
ẫ,84B6,092D,custom,ẫ,
Ậ,84B7,092E,custom,Ậ,
ậ,84B8,092F,custom,ậ,
ắ,84B9,0930,custom,ắ,
ẳ,84BA,0931,custom,ẳ,
ặ,84BB,0932,custom,ặ,
ẹ,84BC,0933,custom,ẹ,
ẻ,84BD,0934,custom,ẻ,
ẽ,84BE,0935,custom,ẽ,
ế,84BF,0936,custom,ế,
ề,84C0,0937,custom,ề,
ể,84C1,0938,custom,ể,
ễ,84C2,0939,custom,ễ,
ệ,84C3,093A,custom,ệ,
ỉ,84C4,093B,custom,ỉ,
ị,84C5,093C,custom,ị,
ọ,84C6,093D,custom,ọ,
ỏ,84C7,093E,custom,ỏ,
ố,84C8,093F,custom,ố,
Ồ,84C9,0940,custom,Ồ,
ồ,84CA,0941,custom,ồ,
Ổ,84CB,0942,custom,Ổ,
ổ,84CC,0943,custom,ổ,
ỗ,84CD,0944,custom,ỗ,
ộ,84CE,0945,custom,ộ,
Ớ,84CF,0946,custom,Ớ,
ớ,84D0,0947,custom,ớ,
ờ,84D1,0948,custom,ờ,
ở,84D2,0949,custom,ở,
ỡ,84D3,094A,custom,ỡ,
ợ,84D4,094B,custom,ợ,
ụ,84D5,094C,custom,ụ,
Ủ,84D6,094D,custom,Ủ,
ủ,84D7,094E,custom,ủ,
ứ,84D8,094F,custom,ứ,
Ừ,84D9,0950,custom,Ừ,
ừ,84DA,0951,custom,ừ,
ử,84DB,0952,custom,ử,
ữ,84DC,0953,custom,ữ,
ự,84DD,0954,custom,ự,
ỳ,84DE,0955,custom,ỳ,
ỷ,84DF,0956,custom,ỷ,
ỹ,84E0,0957,custom,ỹ,
